longer_name	name	country_code	country_name	lat	lng
PFC CSKA Moskva	CSKA Moskva	RUS	Russian Federation	57.44911719900051	37.6173
Hammarby IF	Hammarby	SWE	Sweden	60.545951	16.5699828
Torino Juventus	Juventus	ITA	Italy	45.1089928	7.638763099999998
PFC Ludogorets Razgrad	Ludogorets	BUL	Bulgaria	43.8149115	27.1378769
FC Porto	Porto	POR	Portugal	41.159082	-8.608525658999554
Diósgyőri VTK	Diósgyőr	HUN	Hungary	48.10002129999999	20.6899256
Sevilla FC	Sevilla	ESP	Spain	37.3890924	-5.976128752999557
Everton FC	Everton	ENG	United Kingdom	53.4294901340005	-2.966368
Montreal Impact	Montreal	CAN	Canada	45.50883694400045	-73.567256
HNK Hajduk Split	Hajduk Split	CRO	Croatia	43.52043639100049	16.430298949000473
Leeds United FC	Leeds	ENG	United Kingdom	53.8007554	-1.5478467089996002
FK Austria Wien	Austria Wien	AUT	Austria	48.21043771000046	16.37766711900042
Club Atlético de Madrid	Atlético	ESP	Spain	40.4206094	-3.721263
SC Braga	Braga	POR	Portugal	41.55160991500048	-8.426506999999999
Milton Keynes Dons FC	MK Dons	ENG	United Kingdom	52.009257111000466	-0.7352188199995453
Odense Boldklub	OB	DEN	Denmark	55.40375599999999	10.40237
Molde FK	Molde	NOR	Norway	62.73723520000001	7.1607306
AS Monaco FC	Monaco	FRA	France	43.73741099999999	7.420815999999999
FC København	København	DEN	Denmark	55.6760968	12.5683371
FC Steaua Bucureşti	Steaua	ROU	Romania	44.42120380000001	24.3843233
SK Slavia Praha	Slavia Praha	CZE	Czech Republic	50.069527	14.4781514
Valencia CF	Valencia	ESP	Spain	39.4699075	-0.37738807299956534
Villarreal CF	Villarreal	ESP	Spain	39.9397706	-0.1005932
Amsterdamsche Football Club Ajax	Ajax	NED	Netherlands	52.31364610000048	4.940109564000409
FK Jablonec	Jablonec	CZE	Czech Republic	50.71597737400049	15.1632592
ACF Fiorentina	Fiorentina	ITA	Italy	42.96402994300047	10.536040042000423
Olympique de Marseille	Marseille	FRA	France	43.29661725200049	5.381065934000446
FC Astra Giurgiu	Astra	ROU	Romania	45.63917800000001	25.6269792
FC Terek Grozny	Terek	RUS	Russian Federation	43.48332818400047	44.1393572
FC Ufa	Ufa	RUS	Russian Federation	54.749613541000485	55.98563915000051
Torino FC	Torino	ITA	Italy	45.07048584300048	7.686856499999999
FC Internazionale Milano	Internazionale	ITA	Italy	45.7924983	7.764657419000457
PAS Giannina FC	Giannina	GRE	Greece	39.7706318	20.850828180000462
FC Lugano	Lugano	SUI	Switzerland	46.0036778	8.951269992000448
UC Sampdoria	Sampdoria	ITA	Italy	44.4155383	8.952674799999999
Empoli FC	Empoli	ITA	Italy	44.1325193	12.225985209000442
TSG 1899 Hoffenheim	Hoffenheim	GER	Germany	49.27284710000001	8.841700090000415
KV Mechelen	Mechelen	BEL	Belgium	51.0258791	4.477536499999999
Gençlerbirliği SK	Gençlerbirliği	TUR	Turkey	40.9983386	29.1886745
