longer_name	name	country_code	country_name	ac_query_name	city	country	lat	lng
Stade Rennais FC	Rennes	FRA	France	Stade Rennais F.C, Route de Lorient, Rennes, France	Rennes	FR	48.1074798;48.117266;48.11197744700047;None	-1.6742899889995897;-1.6777926;None;-1.7169389
Olympique Lyonnais	Lyon	FRA	France	parc olympique lyonnais, Chemin de Décines, Chassieu, France	Décines-Charpieu;Lyon;Chassieu	FR	45.76961580300048;45.764043;45.76902260000001;45.749333;45.7484586810005	4.835659;4.850306532000445;4.973502;4.9767765;4.846706852000409
Sevilla FC	Sevilla	ESP	Spain	FAILED	Seville	ES	37.38240956600049;37.3890924;None	-5.9844589;None;-5.976128752999557
Crystal Palace FC	Crystal Palace	ENG	United Kingdom	Crystal Palace FC, Whitehorse Lane, London, United Kingdom	Beckenham;London	GB	51.4198825;51.399935892000485;51.4003895;51.39669946800046;51.4185388;51.419336959000475	-0.0851706;-0.08559429699954535;-0.07853809199957595;-0.0785415;-0.08619641299958403;-0.0307641
West Ham United FC	West Ham	ENG	United Kingdom	FAILED	Westham;Dagenham	GB	51.53332984400049;50.815665;51.57045970000001;DIFF	0.14751;0.323885;0.016668959000412542
Paris Saint-Germain	Paris	FRA	France	Saint-Germain-des-Prés, Paris, France	Paris	FR	48.8537981;48.85502801000047;48.8533958;48.8495969920005;48.856614;48.853408154000476	2.3505263580004225;2.3333285;2.3337563460004276;2.3350238;2.348798511000439;2.3522219
Newcastle United FC	Newcastle	ENG	United Kingdom	Newcastle United FC, Strawberry Place, Newcastle upon Tyne, United Kingdom	Newcastle upon Tyne	GB	54.97512028900047;54.9753395;54.97327909000046;54.978252;54.9748457	-1.61778;-1.613959341999589;-1.6187730739995914;-1.6226779;-1.6196958
Tigres UANL	Tigres	MEX	Mexico	Universidad Autonoma de Nuevo León Campus de Ciencias Agropecuarias, Ex Hacienda el Cañada, General Escobedo, Mexico	Cd Victoria;Monterrey;Cd Gral Escobedo	MX	DIFF;23.7540691;22.549997763000476;25.72374613100044;25.779912;25.6542431	-100.2818836;-100.2947203;DIFF;-103.69999594499967;-100.31191809499967;-99.1359166
Valencia CF	Valencia	ESP	Spain	Valencia Cf., Valencia, Spain	Almàssera;Valencia;Senyera	ES	39.0643597;39.46974734000048;39.4699075;39.46890591500045;39.5154837	-0.3604292000000001;-0.37771654399955423;-0.5104759;-0.3762881;-0.37738807299956534
Borussia Dortmund	Dortmund	GER	Germany	Kreuz-Grundschule in Dortmund, Kreuzstraße, Dortmund, Germany	DO	DE	51.4918469;51.5135872;51.50239550000001;51.48747891200048;51.51493997500046	7.465996422000444;7.465298100000001;7.3714033;7.380486010000425;7.449920100000001
VfL Wolfsburg	Wolfsburg	GER	Germany	VfL Wolfsburg e.V., Elsterweg, Wolfsburg, Germany	WOB	DE	52.42451626200051;52.4243173;52.4226503;52.4257066;52.41170589800049	10.747429234000435;10.8051199;10.7979685;10.7865461;10.781495711000446
Beşiktaş JK	Beşiktaş	TUR	Turkey	Besiktas, Turkey		TR	41.044;41.041889805000494;None;41.04540851900049	None;29.00990916100045;29.005740195000442;29.002
Szombathelyi Haladás	Haladás	HUN	Hungary	Szombathely, Haladás Street, Hungary	Nadap;Szombathely	HU	47.257112;47.47063585800049;47.23542823000048;47.246441	16.606047;16.608748613000444;18.6171884;19.028759867000474;DIFF
Ferencvárosi TC	Ferencváros	HUN	Hungary	FAILED	Budapest	HU	47.48583551000047;None;47.4683766	19.070129196000437;19.0819885;None
Videoton FC	Videoton	HUN	Hungary	FAILED	Veszprém	HU	47.0498377;None;47.1739681840005	17.9124854;18.413749941000447;DIFF;None
Debreceni VSC	Debrecen	HUN	Hungary	FAILED	Debrecen	HU	47.5333287950005;47.55523735100047;47.5316049	21.616129269000453;21.633326743000453;21.6273123
KKS Lech Poznań	Lech	POL	Poland	KKS Lech Poznań S.A., Bułgarska, Poznań, Poland	Gdańsk;Poznań	PL	DIFF;52.4031363;None;54.3788433;54.18419761100051;52.39705177100046	15.57405643000044;16.8659869;16.861686285000474;18.468075;DIFF;None
Puskás Akadémia FC	Puskás Akadémia	HUN	Hungary	FAILED			None;47.42217965800046	18.582925929000453;None
Wisła Kraków	Wisła	POL	Poland	Wisła Krakow, Reymonta, Tomaszow Lubelski, Poland	Kraków;Wisła;Tomaszów Lubelski	PL	49.6473215;50.43713890000001;50.43699671900049;50.0529068;50.066109042000505;49.656289908000474;DIFF	18.867739;19.910569117000477;19.9842717;18.859097922000444;23.4068798;23.40691878800044;DIFF
MTK Budapest	MTK	HUN	Hungary	FAILED	Budapest	HU	47.69212870400048;47.43056691400051;47.5068059	19.092078248000462;17.627489712000454;19.0179405;DIFF
Diósgyőri VTK	Diósgyőr	HUN	Hungary	FAILED	Miskolc	HU	48.099626043000455;48.10002129999999;48.09999951000049;None	20.6899256;20.718499423000424;None;20.683326044000466
1. FC Nürnberg	Nürnberg	GER	Germany	1. FC Nürnberg, Valznerweiherstraße, Nuremberg, Germany	Schnaittach;Nord	DE	49.43895759999999;49.45203;49.447778411000456;49.56794259999999;49.45434000400047	11.073489926000434;11.3486838;11.068327259000455;11.1286975;11.07675
Hannover 96	Hannover	GER	Germany	Hannoverstraße 96, Herne, Germany	BO;Hanover	DE	51.50730815300051;51.5022967;52.3758916;DIFF;52.37051655300047	9.732010400000002;DIFF;7.155401889000416;9.733219233000455;7.156319799999999
Al-Gharafa Sports Club	Al-Gharafa	QAT	Qatar	FAILED	Doha	QA	25.327349307000475;25.3321305;25.344375796000463;25.3325814	51.45756670300051;51.43941981400047;51.4949706;51.44670929999999
Legia Warszawa	Legia	POL	Poland	Legia Warszawa SA, Łazienkowska, Warsaw, Poland	Pińczów;Warszawa	PL	50.5145668;DIFF;52.22154827300051;52.221474;54.02246846300051;52.2215173190005;52.22094999999999	14.738386085000457;DIFF;20.5206169;21.040697832000433;21.041763663000438;21.04523;21.0424143
ŠK Slovan Bratislava	Slovan Bratislava	SVK	Slovakia	ŠK Slovan Bratislava, Černyševského, Petržalka, Slovakia	Bratislava	SK	48.12984609999999;48.1727265;48.16557669100047	17.1193625;17.1315226;17.141339352000443
FK Bodø/Glimt	Bodø/Glimt	NOR	Norway	FK Bodø/Glimt, Fridtjof Nansens vei, Bodo, Norway	Bodo	NO	67.2803556;67.2756515;None	None;14.3827176;14.404916
Hammarby IF	Hammarby	SWE	Sweden	FAILED	Hammarby	SE	DIFF;59.38332875100048;60.545951;None	16.5699828;DIFF;None;15.08332997600047
Sandefjord Fotball	Sandefjord	NOR	Norway	Sandefjord Fotball, Nygårdsveien, Sandefjord, Norway	Sandefjord	NO	59.1313095;59.1370228;59.131175627000516	10.21664733500046;10.1888408;10.2165948
AIK Solna	AIK	SWE	Sweden	AIK Shop, Dalvägen, Solna, Sweden	Sjöbo;Solna	SE	59.36887909999999;59.36786480000001;DIFF;59.37000993300052;55.6299905	17.999066739000455;18.0037819;18.0084334;DIFF;13.6625538
IFK Göteborg	Göteborg	SWE	Sweden	IFK Göteborg, Gothenburg, Sweden	Gothenburg	SE	57.70887;57.70715999100048;None;57.70067012800047	11.968220093000468;11.966789531000416;11.97456;None
KSC Lokeren OV	Lokeren	BEL	Belgium	VVW Lokeren, H.-Geestmolenstraat, Lokeren, Belgium	Lokeren	BE	51.10234130000001;51.116518;51.1036359740005	3.9940663;3.9933890730004578;3.9721366
FC Krasnodar	Krasnodar	RUS	Russian Federation	Управление по вопросам семьи и детства администрации МО г.Краснодар, Kuznechnaya ulitsa, Krasnodar, Krasnodar Krai, Russian Federation	Krasnodar;Sovkhoznyy	RU	45.2842128;45.03926740000001;45.03713579100048;45.0340358;45.04879776700045;45.04258831800047	38.97485574200044;38.1142672;38.97249760200049;38.987221;38.9939514;39.02714975200047;DIFF
AGF Aarhus	AGF	DEN	Denmark	GF Sønderjylland, Bredgade, Haderslev, Denmark	Viby J;Haderslev	DK	56.126591;56.15302005800049;DIFF;55.25560609999999	9.4803132;10.1769624;10.20486000200043;DIFF
AC Cesena	Cesena	ITA	Italy	Comune di Cesena, Piazza del Popolo, Cesena, Province of Forlì-Cesena, Italy	Cesena	IT	44.13909999200047;44.1396438;44.13836987900049;44.1372672;44.16293171300049;44.1444936	12.2464292;12.238820145000432;12.2420372;12.213271543000417;12.2385741;12.243146008000451
IFK Norrköping	Norrköping	SWE	Sweden	FAILED	Norrköping	SE	58.584630028000504;58.58882975400047;58.587745;None	16.19387000900042;16.192421;None;16.19097868500046
