club_name	club_country_code	11_12	12_13	13_14	14_15	15_16	pts
FK Vardar	MKD	0.325	1.250	1.100	0.225	0.225	0.225
FK Jagodina	SRB	0.425	0.850	1.000	1.050	1.050	1.050
PFC Botev Plovdiv	BUL	0.300	0.150	2.125	1.350	1.350	1.350
Stabæk Fotball	NOR	0.460	1.230	0.520	0.440	0.440	0.440
Sligo Rovers FC	IRL	1.300	0.700	1.050	0.900	0.900	0.900
FK Kukësi	ALB	0.175	0.150	1.900	0.425	0.425	0.425
Inverness Caledonian Thistle FC	SCO	0.550	0.860	0.650	0.800	0.800	0.800
Hibernian FC	SCO	0.550	0.860	1.150	0.800	0.800	0.800
FK Čukarički	SRB	0.425	0.600	0.500	1.050	1.050	1.050
FC Koper	SVN	0.700	0.650	0.525	1.300	1.300	1.300
FC Levadia Tallinn	EST	0.575	0.575	0.700	1.300	1.300	1.300
Nõmme Kalju FC	EST	0.325	0.325	1.700	0.800	0.800	0.800
FC Pyunik	ARM	1.025	0.425	0.725	0.325	0.325	0.325
FC Zimbru Chisinau	MDA	0.100	0.950	0.675	1.850	1.850	1.850
FC Irtysh Pavlodar	KAZ	0.825	0.275	1.125	0.675	0.675	0.675
FC Tobol Kostanay	KAZ	1.325	0.275	0.625	0.675	0.675	0.675
Breidablik	ISL	1.275	0.250	1.500	0.500	0.500	0.500
NK Široki Brijeg	BIH	0.475	0.750	1.300	0.850	0.850	0.850
PFC Beroe Stara Zagora	BUL	0.300	0.150	1.625	0.850	0.850	0.850
NK Domžale	SVN	0.950	0.650	0.775	0.800	0.800	0.800
PFC Lokomotiv Sofia	BUL	1.300	0.150	1.125	0.850	0.850	0.850
FC Ordabasy Shymkent	KAZ	0.325	0.775	0.625	0.675	0.675	0.675
Skonto FC	LVA	1.125	0.750	0.825	0.050	0.050	0.050
CS Fola Esch	LUX	0.475	0.275	1.300	0.350	0.350	0.350
Ferencvárosi TC	HUN	0.950	0.600	0.175	0.925	0.925	0.925
Győri ETO FC	HUN	0.450	0.600	1.175	0.925	0.925	0.925
FK Metalurg Skopje	MKD	0.825	0.750	0.350	1.225	1.225	1.225
FK Rad	SRB	0.925	0.600	0.500	0.550	0.550	0.550
Crusaders FC	NIR	0.600	0.450	0.425	0.775	0.775	0.775
Cliftonville FC	NIR	0.350	0.450	1.175	1.275	1.275	1.275
NK Celje	SVN	0.450	0.900	0.775	0.800	0.800	0.800
FC Flora Tallinn	EST	1.075	1.075	0.450	0.300	0.300	0.300
FK Rudar Pljevlja	MNE	0.600	0.525	0.750	0.150	0.150	0.150
FK Sutjeska	MNE	0.100	0.275	1.250	1.150	1.150	1.150
HB Tórshavn	FRO	1.100	0.100	0.425	1.275	1.275	1.275
Bakı FK	AZE	0.275	0.850	0.500	0.725	0.725	0.725
Olimpik-Şüvälan PFK	AZE	0.525	0.600	0.500	0.725	0.725	0.725
HŠK Zrinjski	BIH	0.225	0.250	0.800	1.350	1.350	1.350
PFC Cherno More Varna	BUL	0.300	0.150	1.125	0.850	0.850	0.850
ND Gorica	SVN	0.450	0.650	0.525	1.300	1.300	1.300
FC Chikhura Sachkhere	GEO	0.575	0.300	0.875	1.250	1.250	1.250
FC Metalurgi Rustavi	GEO	1.575	0.800	0.375	0.250	0.250	0.250
PFC Lokomotiv Plovdiv 1936	BUL	0.300	0.650	1.125	0.850	0.850	0.850
FC Shirak	ARM	0.025	0.675	1.225	0.325	0.325	0.325
FC Zhetysu Taldykorgan	KAZ	0.325	0.525	0.625	0.675	0.675	0.675
KuPS Kuopio	FIN	0.800	1.400	0.100	0.480	0.480	0.480
FK Budućnost Podgorica	MNE	0.350	1.275	0.250	0.650	0.650	0.650
Diósgyőri VTK	HUN	0.450	0.600	0.175	1.425	1.425	1.425
Budapest Honvéd FC	HUN	0.450	1.100	0.675	0.425	0.425	0.425
Paksi FC	HUN	1.450	0.600	0.175	0.425	0.425	0.425
Birkirkara FC	MLT	0.416	0.425	1.175	0.275	0.275	0.275
KF Shkëndija	MKD	1.325	0.500	0.100	0.475	0.475	0.475
MFK Košice	SVK	0.475	0.300	0.325	1.050	1.050	1.050
NK Rudar Velenje	SVN	0.450	0.650	0.525	1.050	1.050	1.050
FC Daugava Daugavpils	LVA	0.375	0.500	1.325	0.300	0.300	0.300
ÍBV Vestmannaeyjar	ISL	0.525	0.500	1.000	0.500	0.500	0.500
FC Honka Espoo	FIN	0.800	0.400	0.600	0.730	0.730	0.730
Víkingur	FRO	0.100	0.350	0.675	1.275	1.275	1.275
FK Zeta	MNE	0.350	1.775	0.250	0.150	0.150	0.150
FC Santa Coloma	AND	0.500	0.250	0.316	1.100	1.100	1.100
FK Borac Banja Luka	BIH	1.225	0.500	0.300	0.350	0.350	0.350
Dundalk FC	IRL	0.300	0.200	0.050	0.900	0.900	0.900
KS Flamurtari	ALB	0.675	0.400	0.400	0.675	0.675	0.675
Myllykosken Pallo -47	FIN	0.300	0.900	0.100	0.980	0.980	0.980
FK Mladost Podgorica	MNE	0.100	0.275	1.250	0.150	0.150	0.150
MTK Budapest	HUN	0.450	0.850	0.175	0.425	0.425	0.425
EB/Streymur	FRO	0.600	0.350	1.175	0.275	0.275	0.275
Kecskeméti TE	HUN	0.950	0.600	0.175	0.425	0.425	0.425
Hibernians FC	MLT	0.166	0.425	0.425	0.275	0.275	0.275
USV Eschen/Mauren	LIE	0.400	0.250	0.200	0.500	0.500	0.500
KF Laçi	ALB	0.175	0.150	0.650	0.675	0.675	0.675
Ulisses FC 	ARM	0.275	1.175	0.225	0.075	0.075	0.075
FC Tiraspol	MDA	0.100	0.450	0.925	0.600	0.600	0.600
SK Liepājas Metalurgs	LVA	0.625	0.750	0.575	0.050	0.050	0.050
KF Tirana	ALB	0.675	0.650	0.400	0.175	0.175	0.175
FC Iskra-Stal	MDA	0.600	0.450	0.675	0.350	0.350	0.350
Thór Akureyri	ISL	0.275	0.750	0.500	0.500	0.500	0.500
FC Inter Turku	FIN	0.300	0.900	0.350	0.480	0.480	0.480
TPS Turku	FIN	0.800	0.400	0.350	0.480	0.480	0.480
KF Renova	MKD	0.575	0.750	0.100	0.225	0.225	0.225
Bangor City FC	WAL	1.125	0.350	0.150	0.275	0.275	0.275
FK Sūduva	LTU	0.700	0.725	0.500	0.100	0.100	0.100
FC Torpedo Kutaisi	GEO	0.575	0.550	0.625	0.250	0.250	0.250
FC Gagra	GEO	1.075	0.300	0.375	0.250	0.250	0.250
Derry City FC	IRL	0.300	0.200	0.550	0.900	0.900	0.900
FC Saxan	MDA	0.100	0.450	0.675	0.350	0.350	0.350
FC Veris	MDA	0.100	0.450	0.675	0.600	0.600	0.600
AS Jeunesse Esch	LUX	0.225	0.525	0.800	0.350	0.350	0.350
Víkingur Reykjavík	ISL	0.275	0.250	0.500	0.500	0.500	0.500
Fram Reykjavík	ISL	0.275	0.250	0.500	0.750	0.750	0.750
VPS Vaasa	FIN	0.300	0.400	0.100	0.730	0.730	0.730
RoPS Rovaniemi	FIN	0.300	0.400	0.100	0.980	0.980	0.980
JJK Jyväskylä	FIN	0.300	0.900	0.100	0.480	0.480	0.480
B36 Tórshavn	FRO	0.100	0.600	0.175	0.525	0.525	0.525
FK Čelik Nikšić	MNE	0.100	0.775	0.500	0.400	0.400	0.400
FK Mogren	MNE	1.100	0.275	0.250	0.150	0.150	0.150
FK Turnovo	MKD	0.325	0.250	0.600	0.475	0.475	0.475
Glentoran FC	NIR	0.600	0.200	0.425	0.275	0.275	0.275
FC Dinamo Batumi	GEO	0.575	0.300	0.375	0.250	0.250	0.250
FC Tskhinvali	GEO	0.575	0.300	0.375	0.250	0.250	0.250
FC Sioni Bolnisi	GEO	0.575	0.300	0.375	0.500	0.500	0.500
Bohemian FC	IRL	0.800	0.450	0.050	0.400	0.400	0.400
FK Jelgava	LVA	0.125	0.250	0.325	0.300	0.300	0.300
FC Mika	ARM	0.525	0.175	0.475	0.325	0.325	0.325
KF Teuta	ALB	0.175	0.400	0.650	0.175	0.175	0.175
KF Vllaznia	ALB	0.675	0.150	0.400	0.175	0.175	0.175
FC Lahti	FIN	0.300	0.400	0.100	0.480	0.480	0.480
SJK Seinäjoki	FIN	0.300	0.400	0.100	0.480	0.480	0.480
IFK Mariehamn	FIN	0.300	0.400	0.350	0.480	0.480	0.480
Lincoln FC	GIB	0.000	0.000	0.000	0.550	0.550	0.550
FC Lusitans	AND	0.250	0.500	0.566	0.100	0.100	0.100
FK Olimpic Sarajevo	BIH	0.225	0.250	0.300	0.350	0.350	0.350
FK Atlantas	LTU	0.200	0.225	0.250	0.600	0.600	0.600
JK Sillamäe Kalev	EST	0.075	0.075	0.200	0.800	0.800	0.800
JK Narva Trans	EST	0.325	0.325	0.450	0.300	0.300	0.300
University College Dublin AFC	IRL	0.300	0.200	0.050	0.400	0.400	0.400
FK Spartaks Jūrmala	LVA	0.125	0.250	0.325	0.050	0.050	0.050
FK Partizani	ALB	0.175	0.150	0.400	0.175	0.175	0.175
FC Banants	ARM	0.275	0.175	0.225	0.575	0.575	0.575
FC Gandzasar	ARM	0.025	0.675	0.475	0.075	0.075	0.075
NSÍ Runavík	FRO	0.350	0.350	0.175	0.275	0.275	0.275
ÍF Fuglafjørdur	FRO	0.350	0.100	0.425	0.525	0.525	0.525
Floriana FC	MLT	0.666	0.425	0.175	0.025	0.025	0.025
AUK Broughton FC	WAL	0.125	0.100	0.400	0.275	0.275	0.275
FK Teteks	MKD	0.325	0.250	0.350	0.225	0.225	0.225
Llanelli AFC	WAL	0.625	0.350	0.150	0.025	0.025	0.025
FK Trakai	LTU	0.200	0.225	0.250	0.100	0.100	0.100
FK Kruoja	LTU	0.200	0.225	0.500	0.100	0.100	0.100
FK Banga	LTU	0.450	0.225	0.250	0.350	0.350	0.350
FK Tauras	LTU	0.700	0.225	0.250	0.100	0.100	0.100
Glenavon FC	NIR	0.100	0.200	0.175	0.525	0.525	0.525
Portadown FC	NIR	0.100	0.700	0.175	0.275	0.275	0.275
Cork City FC	IRL	0.300	0.200	0.050	0.400	0.400	0.400
Drogheda United FC	IRL	0.300	0.200	0.300	0.400	0.400	0.400
Alashkert FC	ARM	0.025	0.175	0.225	0.075	0.075	0.075
